RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            5     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     3.321D-06  6.206D-07
    1    3     1     0  ---    1  1.9D+02  6.5D-04  4.288D-07  6.196D-07
    2    4     0     0  con    0  1.0D+00  8.9D-05  3.021D-07  6.195D-07
    3    5     0     0  con    0  1.0D+00  1.7D-04  2.955D-07  6.195D-07
    4    6     0     0  con    0  1.0D+00  7.0D-04  9.636D-07  6.193D-07
    5    7     0     0  con    0  1.0D+00  1.7D-03  1.734D-06  6.190D-07
    6    8     0     0  con    0  1.0D+00  3.6D-03  2.357D-06  6.183D-07
    7    9     0     0  con    0  1.0D+00  4.7D-03  1.991D-06  6.175D-07
    8   10     0     0  con    0  1.0D+00  2.6D-03  7.467D-07  6.171D-07
    9   11     0     0  con    0  1.0D+00  2.5D-04  7.506D-08  6.170D-07
   10   12     0     0  con    0  1.0D+00  2.6D-04  1.139D-07  6.170D-07
   11   13     0     0  con    0  1.0D+00  2.2D-04  1.849D-07  6.170D-07
   12   14     0     0  con    0  1.0D+00  5.9D-04  3.478D-07  6.170D-07
   13   15     0     0  con    0  1.0D+00  1.3D-03  5.967D-07  6.169D-07
   14   16     0     0  con    0  1.0D+00  3.4D-03  1.022D-06  6.168D-07
   15   17     0     0  con    0  1.0D+00  9.1D-03  1.727D-06  6.163D-07
   16   18     0     0  con    0  1.0D+00  2.5D-02  2.897D-06  6.150D-07
   17   19     0     0  con    0  1.0D+00  7.3D-02  4.724D-06  6.113D-07
   18   22     0     0  con    2  2.0D+00  5.9D-01  1.786D-06  5.718D-07
   19   25     0     0  con    2  1.6D-02  2.0D-01  1.018D-05  5.673D-07
   20   26     0     0  con    0  1.0D+00  3.3D-02  7.449D-06  5.593D-07
   21   27     0     0  con    0  1.0D+00  1.0D-01  4.411D-06  5.315D-07
   22   28     0     0  con    0  1.0D+00  3.0D-01  1.242D-05  5.225D-07
   23   29     0     0  con    0  1.0D+00  5.1D-02  6.234D-06  5.143D-07
   24   30     0     0  con    0  1.0D+00  9.9D-02  2.570D-06  5.028D-07
   25   31     0     0  con    0  1.0D+00  5.0D-01  9.162D-06  4.709D-07
   26   32     0     0  con    0  1.0D+00  2.0D-01  8.491D-06  4.514D-07
   27   33     0     0  con    0  1.0D+00  4.2D-01  4.859D-06  4.170D-07
   28   35     0     0  con    1  4.2D-01  7.3D-02  3.591D-06  4.078D-07
   29   37     0     0  con    1  2.4D-01  3.1D-01  2.299D-06  3.841D-07
   30   39     0     0  con    1  1.4D-01  1.9D-01  7.529D-06  3.769D-07
   31   40     0     0  con    0  1.0D+00  1.2D-01  8.017D-06  3.693D-07
   32   41     0     0  con    0  1.0D+00  3.1D-01  6.056D-06  3.458D-07
   33   42     0     0  con    0  1.0D+00  3.2D-01  7.968D-06  3.274D-07
   34   43     0     0  con    0  1.0D+00  5.1D-01  5.502D-08  2.870D-07
   35   45     0     0  con    1  1.1D-01  1.4D-01  4.902D-06  2.821D-07
   36   46     0     0  con    0  1.0D+00  2.1D-01  6.511D-06  2.723D-07
   37   47     0     0  con    0  1.0D+00  3.1D-01  6.163D-06  2.539D-07
   38   49     0     0  con    1  2.2D-01  6.3D-02  3.371D-06  2.503D-07
   39   50     0     0  con    0  1.0D+00  2.0D-01  7.751D-07  2.343D-07
   40   52     0     0  con    1  1.6D-01  1.8D-01  4.551D-06  2.278D-07
   41   53     0     0  con    0  1.0D+00  3.4D-01  9.154D-06  2.206D-07
   42   54     0     0  con    0  1.0D+00  3.4D-02  2.229D-06  2.062D-07
   43   55     0     0  con    0  1.0D+00  3.0D-01  4.009D-06  1.931D-07
   44   57     0     0  con    1  3.6D-01  1.5D-01  5.066D-06  1.880D-07
   45   58     0     0  con    0  1.0D+00  3.0D-01  4.475D-06  1.741D-07
   46   59     0     0  con    0  1.0D+00  1.5D-01  1.141D-06  1.633D-07
   47   61     0     0  con    1  2.5D-01  2.0D-01  1.861D-06  1.554D-07
   48   63     0     0  con    1  2.7D-01  1.3D-01  3.962D-06  1.522D-07
   49   64     0     0  con    0  1.0D+00  1.4D-01  4.709D-06  1.471D-07
   50   65     0     0  con    0  1.0D+00  1.8D-01  3.073D-06  1.379D-07
   51   66     0     0  con    0  1.0D+00  2.8D-01  6.199D-06  1.326D-07
   52   67     0     0  con    0  1.0D+00  1.7D-01  1.312D-06  1.194D-07
   53   69     0     0  con    1  3.2D-01  1.5D-01  3.156D-06  1.157D-07
   54   70     0     0  con    0  1.0D+00  2.4D-01  4.809D-06  1.112D-07
