RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            5     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   72   82     0     0  con    1  1.2D-01  2.1D-01  5.865D-07  3.842D-09
   73   83     0     0  con    0  1.0D+00  2.6D-01  7.339D-07  3.602D-09
   74   84     0     0  con    0  1.0D+00  9.3D-02  4.301D-07  3.420D-09
   75   85     0     0  con    0  1.0D+00  4.0D-01  6.812D-07  3.255D-09
   76   86     0     0  con    0  1.0D+00  1.3D-01  2.952D-07  2.943D-09
   77   87     0     0  con    0  1.0D+00  4.7D-01  8.062D-07  2.736D-09
   78   88     0     0  con    0  1.0D+00  1.3D-01  2.947D-07  2.499D-09
   79   89     0     0  con    0  1.0D+00  3.4D-01  6.842D-07  2.347D-09
   80   90     0     0  con    0  1.0D+00  4.7D-01  1.047D-06  2.191D-09
   81   91     0     0  con    0  1.0D+00  1.2D-01  2.929D-07  1.907D-09
   82   92     0     0  con    0  1.0D+00  3.7D-01  3.155D-07  1.748D-09
   83   94     0     0  con    1  1.8D-01  2.0D-01  5.594D-07  1.679D-09
   84   95     0     0  con    0  1.0D+00  5.4D-01  4.623D-07  1.404D-09
   85   96     0     0  con    0  1.0D+00  3.6D-01  5.301D-07  1.305D-09
   86   98     0     0  con    1  4.0D-01  4.5D-01  1.972D-07  1.060D-09
   87  100     0     0  con    1  3.1D-01  2.2D-01  4.816D-07  1.002D-09
   88  101     0     0  con    0  1.0D+00  6.1D-02  3.573D-07  9.174D-10
   89  102     0     0  con    0  1.0D+00  1.0D-01  3.486D-07  8.652D-10
   90  104     0     0  con    1  1.5D-01  5.9D-01  5.557D-07  8.307D-10
   91  105     0     0  con    0  1.0D+00  4.9D-02  1.090D-07  6.645D-10
   92  107     0     0  con    1  4.7D-01  2.4D-01  2.360D-07  5.868D-10
   93  108     0     0  con    0  1.0D+00  4.0D-01  3.712D-07  5.093D-10
   94  109     0     0  con    0  1.0D+00  3.7D-01  2.214D-07  4.042D-10
   95  110     0     0  con    0  1.0D+00  5.5D-01  4.196D-07  3.693D-10
   96  111     0     0  con    0  1.0D+00  2.4D-02  9.616D-08  2.898D-10
   97  112     0     0  con    0  1.0D+00  3.3D-01  1.124D-07  2.261D-10
   98  114     0     0  con    1  3.8D-01  2.5D-01  2.347D-07  2.039D-10
   99  115     0     0  con    0  1.0D+00  2.2D-01  2.348D-07  1.705D-10
  100  117     0     0  con    1  3.2D-01  2.3D-01  1.982D-07  1.504D-10
  101  118     0     0  con    0  1.0D+00  1.6D-01  1.290D-07  1.191D-10
  102  120     0     0  con    1  3.6D-01  2.3D-01  2.062D-08  9.600D-11
  103  122     0     0  con    1  2.5D-01  2.2D-01  1.140D-07  8.440D-11
  104  123     0     0  con    0  1.0D+00  2.1D-01  1.762D-07  7.666D-11
  105  124     0     0  con    0  1.0D+00  1.3D-01  1.166D-07  6.619D-11
  106  125     0     0  con    0  1.0D+00  2.5D-01  8.001D-08  5.594D-11
  107  126     0     0  con    0  1.0D+00  1.5D-01  1.024D-08  4.943D-11
  108  128     0     0  con    1  3.6D-01  1.5D-01  4.332D-08  4.705D-11
  109  129     0     0  con    0  1.0D+00  1.3D-01  4.894D-08  4.511D-11
  110  131     0     0  con    1  1.2D-01  2.5D-02  3.487D-08  4.457D-11
  111  132     0     0  con    0  1.0D+00  5.2D-02  8.683D-09  4.340D-11
  112  133     0     0  con    0  1.0D+00  8.0D-02  1.285D-08  4.317D-11
  113  134     0     0  con    0  1.0D+00  8.2D-03  1.616D-09  4.312D-11
  114  135     0     0  con    0  1.0D+00  5.3D-03  4.431D-10  4.312D-11
  115  136     0     0  con    0  1.0D+00  1.7D-04  3.841D-10  4.312D-11
  116  137     0     0  con    0  1.0D+00  7.7D-04  1.840D-10  4.312D-11
  117  138     0     0  con    0  1.0D+00  3.0D-04  1.487D-10  4.312D-11
  118  139     0     0  con    0  1.0D+00  1.0D-03  8.677D-11  4.312D-11
  119  140     0     0  con    0  1.0D+00  2.0D-04  2.252D-11  4.312D-11
  120  141     0     0  con    0  1.0D+00  7.1D-06  1.698D-12  4.312D-11
  121  142     0     0  con    0  1.0D+00  8.5D-06  1.098D-13  4.312D-11
  122  146     0     0  con    3  5.0D-01  7.4D-08  6.368D-14  4.312D-11
  123  147     0     0  con    0  1.0D+00  2.1D-07  1.036D-14  4.312D-11
  124  154     0     0  con    6  2.2D-04  1.9D-11  1.036D-14  4.312D-11
  125  160     0     0  con    5  1.0D-11  3.6D-18  1.036D-14  4.312D-11
  126  164     0     0  con    3  2.1D-23  9.2D-30  1.037D-14  4.312D-11
  127  168     1     0  ---    3  6.7D-08  9.3D-22  1.037D-14  4.312D-11
  128  173     1     0  ---    4  3.2D-19  4.5D-33  1.036D-14  4.312D-11
  129  177     1     0  ---    3  0.0D+00  0.0D+00  1.036D-14  4.312D-11

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 1.805E+02 seconds.

