RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            6     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     3.110D-04  4.047D-05
    1    3     1     0  ---    1  1.3D+00  5.7D-04  2.851D-04  4.034D-05
    2    4     0     0  con    0  1.0D+00  4.4D-04  2.542D-04  4.022D-05
    3    5     0     0  con    0  1.0D+00  3.8D-03  5.109D-05  3.967D-05
    4    6     0     0  con    0  1.0D+00  4.8D-04  4.780D-05  3.964D-05
    5    7     0     0  con    0  1.0D+00  5.3D-03  4.967D-05  3.946D-05
    6    8     0     0  con    0  1.0D+00  1.9D-03  1.924D-05  3.941D-05
    7    9     0     0  con    0  1.0D+00  5.2D-03  5.518D-05  3.933D-05
    8   10     0     0  con    0  1.0D+00  6.1D-03  1.063D-04  3.925D-05
    9   11     0     0  con    0  1.0D+00  2.4D-02  2.399D-04  3.893D-05
   10   12     0     0  con    0  1.0D+00  5.2D-02  4.677D-04  3.829D-05
   11   13     0     0  con    0  1.0D+00  1.1D-01  9.557D-04  3.708D-05
   12   14     0     0  con    0  1.0D+00  1.4D-01  6.431D-04  3.547D-05
   13   16     0     0  con    1  3.1D-01  9.8D-02  1.585D-03  3.403D-05
   14   17     0     0  con    0  1.0D+00  1.2D-01  1.490D-03  2.827D-05
   15   18     0     0  con    0  1.0D+00  2.0D-01  1.608D-03  2.382D-05
   16   20     0     0  con    1  3.3D-01  1.1D-01  1.588D-03  2.242D-05
   17   21     0     0  con    0  1.0D+00  1.8D-01  1.795D-03  2.005D-05
   18   23     0     0  con    1  1.8D-01  2.2D-01  7.846D-04  1.542D-05
   19   25     0     0  con    1  4.6D-01  7.2D-02  1.606D-03  1.467D-05
   20   26     0     0  con    0  1.0D+00  2.0D-02  4.175D-04  1.370D-05
   21   27     0     0  con    0  1.0D+00  5.1D-02  7.736D-04  1.302D-05
   22   28     0     0  con    0  1.0D+00  8.7D-02  1.051D-03  1.221D-05
   23   29     0     0  con    0  1.0D+00  6.9D-02  7.562D-04  1.135D-05
   24   30     0     0  con    0  1.0D+00  1.4D-01  1.388D-03  1.050D-05
   25   31     0     0  con    0  1.0D+00  7.8D-02  1.959D-04  9.228D-06
   26   33     0     0  con    1  3.7D-01  5.9D-02  1.771D-04  8.854D-06
   27   35     0     0  con    1  3.7D-01  6.0D-02  5.115D-04  8.659D-06
   28   36     0     0  con    0  1.0D+00  3.8D-02  4.368D-04  8.518D-06
   29   37     0     0  con    0  1.0D+00  5.0D-02  2.649D-04  8.343D-06
   30   38     0     0  con    0  1.0D+00  3.2D-02  2.399D-05  8.257D-06
   31   40     0     0  con    1  5.2D-01  3.5D-02  1.071D-04  8.231D-06
   32   41     0     0  con    0  1.0D+00  1.4D-02  4.500D-05  8.222D-06
   33   42     0     0  con    0  1.0D+00  7.1D-03  3.313D-06  8.220D-06
   34   43     0     0  con    0  1.0D+00  2.8D-03  2.660D-06  8.220D-06
   35   45     0     0  con    1  5.0D+00  3.5D-03  1.695D-05  8.215D-06
   36   46     0     0  con    0  1.0D+00  1.6D-02  1.433D-05  8.201D-06
   37   48     0     0  con    1  5.0D-01  2.0D-02  1.091D-04  8.187D-06
   38   50     0     0  con    1  5.0D+00  8.0D-02  4.144D-05  8.067D-06
   39   52     0     0  con    1  3.8D-01  4.1D-01  4.564D-04  7.587D-06
   40   54     0     0  con    1  2.3D-01  2.2D-01  4.808D-04  7.375D-06
   41   55     0     0  con    0  1.0D+00  4.7D-01  9.461D-04  7.051D-06
   42   56     0     0  con    0  1.0D+00  1.3D-01  3.294D-04  6.458D-06
   43   58     0     0  con    1  3.6D-01  1.0D-01  4.589D-04  6.179D-06
   44   60     0     0  con    1  4.7D-01  2.6D-01  5.906D-04  5.889D-06
   45   61     0     0  con    0  1.0D+00  5.5D-01  4.888D-04  5.359D-06
   46   63     0     0  con    1  2.9D-01  2.6D-02  1.266D-04  5.226D-06
   47   64     0     0  con    0  1.0D+00  3.0D-01  3.071D-04  4.920D-06
   48   66     0     0  con    1  3.2D-01  2.3D-01  4.916D-05  4.714D-06
   49   68     0     0  con    1  3.4D-01  2.1D-01  2.997D-04  4.557D-06
   50   70     0     0  con    1  4.3D-01  1.3D-01  4.214D-04  4.441D-06
   51   71     0     0  con    0  1.0D+00  2.2D-02  1.253D-04  4.332D-06
   52   72     0     0  con    0  1.0D+00  3.4D-01  4.337D-04  4.179D-06
   53   73     0     0  con    0  1.0D+00  8.9D-02  4.603D-05  3.928D-06
   54   74     0     0  con    0  1.0D+00  3.5D-01  5.328D-04  3.787D-06
   55   75     0     0  con    0  1.0D+00  4.8D-02  6.636D-05  3.579D-06
   56   76     0     0  con    0  1.0D+00  2.4D-01  1.800D-04  3.365D-06
   57   77     0     0  con    0  1.0D+00  1.7D-01  3.308D-04  3.110D-06
   58   78     0     0  con    0  1.0D+00  4.9D-02  4.599D-04  2.980D-06
   59   80     0     0  con    1  5.3D-01  1.8D-01  1.788D-04  2.589D-06
   60   82     0     0  con    1  2.1D-01  4.5D-02  3.575D-04  2.551D-06
   61   83     0     0  con    0  1.0D+00  1.9D-02  3.048D-04  2.456D-06
   62   84     0     0  con    0  1.0D+00  4.6D-02  2.276D-04  2.172D-06
   63   85     0     0  con    0  1.0D+00  1.1D-01  2.771D-05  1.923D-06
   64   87     0     0  con    1  3.1D-01  4.9D-02  2.621D-04  1.860D-06
   65   88     0     0  con    0  1.0D+00  4.9D-02  9.440D-05  1.810D-06
   66   89     0     0  con    0  1.0D+00  8.6D-03  1.203D-04  1.799D-06
   67   90     0     0  con    0  1.0D+00  6.1D-02  1.925D-04  1.748D-06
   68   91     0     0  con    0  1.0D+00  1.6D-01  3.821D-04  1.657D-06
   69   92     0     0  con    0  1.0D+00  2.1D-01  4.069D-04  1.529D-06
   70   94     0     0  con    1  1.9D-01  7.6D-02  5.309D-04  1.477D-06
   71   95     0     0  con    0  1.0D+00  2.1D-01  2.832D-05  1.283D-06
   72   97     0     0  con    1  4.5D-01  1.2D-01  1.662D-04  1.224D-06
   73   98     0     0  con    0  1.0D+00  2.1D-01  2.685D-04  1.164D-06
   74   99     0     0  con    0  1.0D+00  2.3D-02  2.338D-04  1.103D-06
   75  101     0     0  con    1  3.3D-01  5.1D-02  3.441D-05  1.069D-06
   76  102     0     0  con    0  1.0D+00  9.0D-02  5.352D-05  1.002D-06
   77  104     0     0  con    1  2.9D-01  1.0D-01  1.424D-04  9.460D-07
   78  105     0     0  con    0  1.0D+00  1.0D-01  2.420D-04  8.686D-07
   79  106     0     0  con    0  1.0D+00  3.8D-02  4.698D-05  8.043D-07
   80  107     0     0  con    0  1.0D+00  1.8D-01  4.032D-04  7.545D-07
   81  108     0     0  con    0  1.0D+00  1.2D-02  1.762D-04  7.100D-07
   82  109     0     0  con    0  1.0D+00  1.0D-01  1.444D-04  6.525D-07
   83  111     0     0  con    1  2.7D-01  1.5D-01  2.013D-04  6.172D-07
   84  112     0     0  con    0  1.0D+00  8.9D-02  2.186D-04  5.740D-07
   85  113     0     0  con    0  1.0D+00  1.3D-01  2.367D-04  5.203D-07
   86  115     0     0  con    1  4.6D-01  1.0D-01  5.347D-05  4.765D-07
   87  116     0     0  con    0  1.0D+00  7.5D-02  1.838D-04  4.324D-07
   88  117     0     0  con    0  1.0D+00  5.5D-02  9.385D-05  4.204D-07
   89  118     0     0  con    0  1.0D+00  7.4D-02  1.551D-04  3.867D-07
   90  119     0     0  con    0  1.0D+00  1.2D-01  2.458D-04  3.704D-07
   91  120     0     0  con    0  1.0D+00  1.2D-02  6.062D-05  3.424D-07
   92  121     0     0  con    0  1.0D+00  7.8D-02  2.529D-05  3.099D-07
   93  123     0     0  con    1  4.3D-01  1.1D-01  1.153D-04  2.812D-07
   94  124     0     0  con    0  1.0D+00  1.2D-01  2.171D-04  2.505D-07
   95  125     0     0  con    0  1.0D+00  3.1D-02  3.367D-05  2.308D-07
   96  126     0     0  con    0  1.0D+00  1.4D-01  1.607D-04  1.935D-07
   97  127     0     0  con    0  1.0D+00  5.9D-02  1.219D-04  1.783D-07
   98  128     0     0  con    0  1.0D+00  3.5D-02  1.256D-04  1.676D-07
   99  130     0     0  con    1  3.8D-01  6.3D-02  5.983D-05  1.496D-07
  100  132     0     0  con    1  1.7D-01  6.1D-02  3.613D-05  1.388D-07
  101  133     0     0  con    0  1.0D+00  3.8D-02  1.061D-04  1.274D-07
  102  134     0     0  con    0  1.0D+00  3.6D-03  9.277D-05  1.187D-07
  103  135     0     0  con    0  1.0D+00  6.2D-02  1.298D-04  1.082D-07
  104  136     0     0  con    0  1.0D+00  9.0D-02  1.382D-04  9.320D-08
  105  137     0     0  con    0  1.0D+00  4.9D-02  7.378D-06  7.766D-08
  106  139     0     0  con    1  5.0D-01  4.7D-02  2.126D-05  7.279D-08
  107  140     0     0  con    0  1.0D+00  7.5D-02  7.925D-05  7.015D-08
  108  141     0     0  con    0  1.0D+00  1.1D-02  2.623D-05  6.630D-08
  109  142     0     0  con    0  1.0D+00  2.0D-02  1.590D-05  6.473D-08
  110  144     0     0  con    1  3.5D-01  3.9D-02  1.802D-05  6.262D-08
  111  146     0     0  con    1  1.7D-01  2.3D-02  3.817D-05  5.812D-08
  112  147     0     0  con    0  1.0D+00  2.9D-02  1.139D-05  5.420D-08
  113  148     0     0  con    0  1.0D+00  2.8D-02  1.395D-05  5.024D-08
  114  150     0     0  con    1  4.2D-01  2.8D-02  4.548D-05  4.775D-08
  115  151     0     0  con    0  1.0D+00  8.0D-02  4.203D-05  3.288D-08
  116  152     0     0  con    0  1.0D+00  2.6D-02  2.056D-05  3.085D-08
  117  153     0     0  con    0  1.0D+00  2.6D-02  5.559D-05  2.847D-08
  118  154     0     0  con    0  1.0D+00  3.2D-03  3.142D-05  2.703D-08
  119  155     0     0  con    0  1.0D+00  4.7D-02  5.325D-05  2.417D-08
  120  156     0     0  con    0  1.0D+00  7.1D-02  7.368D-05  2.139D-08
  121  157     0     0  con    0  1.0D+00  8.2D-03  4.330D-06  1.790D-08
  122  158     0     0  con    0  1.0D+00  5.0D-02  9.144D-06  1.584D-08
  123  165     0     0  con    6  3.0D-01  3.6D-02  3.319D-05  1.484D-08
  124  180     0     0  con   14  9.5D-03  7.5D-03  4.762D-05  1.481D-08
  125  183     0     0  con    2  2.2D+00  4.1D-02  3.582D-05  1.371D-08
  126  184     0     0  con    0  1.0D+00  1.1D-02  5.773D-06  1.321D-08
  127  185     0     0  con    0  1.0D+00  2.5D-03  3.518D-06  1.288D-08
  128  186     0     0  con    0  1.0D+00  4.5D-03  3.364D-06  1.275D-08
  129  191     0     0  con    4  2.0D+00  2.9D-02  6.318D-06  1.247D-08
  130  199     0     0  con    7  3.4D-01  7.7D-03  8.260D-06  1.244D-08
  131  200     0     0  con    0  1.0D+00  7.5D-03  2.938D-06  1.198D-08
  132  220     0     0  con   19  1.7D-12  2.3D-15  2.938D-06  1.198D-08
  133  240     0     0  con   19  0.0D+00  0.0D+00  2.938D-06  1.198D-08

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Warning:  more than 10 function and gradient
   evaluations in the last line search.  Termination
   may possibly be caused by a bad search direction.

 Total User time 1.646E+02 seconds.

