RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            4     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   72   97     0     0  con    0  1.0D+00  8.3D-02  2.363D-05  5.446D-08
   73   98     0     0  con    0  1.0D+00  2.4D-02  1.753D-05  5.291D-08
   74  100     0     0  con    1  3.4D-01  8.0D-02  1.490D-05  5.100D-08
   75  102     0     0  con    1  3.9D-01  4.6D-02  1.707D-05  5.012D-08
   76  103     0     0  con    0  1.0D+00  9.3D-02  5.213D-06  4.782D-08
   77  104     0     0  con    0  1.0D+00  8.8D-03  1.291D-05  4.655D-08
   78  105     0     0  con    0  1.0D+00  9.1D-02  2.859D-06  4.466D-08
   79  106     0     0  con    0  1.0D+00  6.8D-02  1.278D-05  4.348D-08
   80  107     0     0  con    0  1.0D+00  4.7D-02  1.403D-05  4.139D-08
   81  109     0     0  con    1  3.4D-01  5.2D-02  1.429D-05  3.998D-08
   82  111     0     0  con    1  4.0D-01  7.3D-02  1.211D-05  3.845D-08
   83  112     0     0  con    0  1.0D+00  4.1D-02  8.174D-06  3.715D-08
   84  114     0     0  con    1  4.1D-01  4.0D-02  3.782D-06  3.650D-08
   85  115     0     0  con    0  1.0D+00  9.5D-02  1.226D-05  3.487D-08
   86  116     0     0  con    0  1.0D+00  1.1D-02  1.068D-05  3.331D-08
   87  118     0     0  con    1  3.2D-02  4.9D-03  7.654D-06  3.326D-08
   88  119     0     0  con    0  1.0D+00  6.6D-02  1.139D-05  3.193D-08
   89  121     0     0  con    1  4.7D-01  6.0D-02  1.339D-05  3.099D-08
   90  122     0     0  con    0  1.0D+00  3.6D-02  3.033D-06  2.946D-08
   91  123     0     0  con    0  1.0D+00  7.3D-02  4.713D-06  2.817D-08
   92  124     0     0  con    0  1.0D+00  9.8D-02  9.187D-07  2.531D-08
   93  126     0     0  con    1  4.6D-01  5.0D-02  6.339D-06  2.468D-08
   94  127     0     0  con    0  1.0D+00  1.3D-01  2.194D-05  2.293D-08
   95  128     0     0  con    0  1.0D+00  7.4D-03  3.670D-06  2.252D-08
   96  129     0     0  con    0  1.0D+00  6.9D-02  6.012D-06  2.012D-08
   97  131     0     0  con    1  4.5D-01  2.7D-02  1.517D-06  1.973D-08
   98  132     0     0  con    0  1.0D+00  3.1D-02  1.047D-05  1.898D-08
   99  133     0     0  con    0  1.0D+00  6.5D-02  1.416D-05  1.813D-08
  100  134     0     0  con    0  1.0D+00  7.8D-02  2.182D-05  1.672D-08
  101  136     0     0  con    1  4.0D-01  3.9D-02  2.101D-05  1.602D-08
  102  137     0     0  con    0  1.0D+00  3.7D-02  1.332D-05  1.484D-08
  103  138     0     0  con    0  1.0D+00  3.3D-02  2.077D-06  1.418D-08
  104  139     0     0  con    0  1.0D+00  1.8D-02  1.079D-05  1.356D-08
  105  140     0     0  con    0  1.0D+00  6.3D-02  1.582D-05  1.307D-08
  106  141     0     0  con    0  1.0D+00  5.3D-03  4.017D-06  1.228D-08
  107  142     0     0  con    0  1.0D+00  5.6D-02  6.101D-07  1.153D-08
  108  143     0     0  con    0  1.0D+00  6.0D-02  2.041D-06  1.051D-08
  109  144     0     0  con    0  1.0D+00  5.6D-02  3.894D-07  9.169D-09
  110  146     0     0  con    1  1.8D-01  4.7D-02  7.522D-06  8.584D-09
  111  147     0     0  con    0  1.0D+00  6.0D-02  1.009D-05  8.159D-09
  112  148     0     0  con    0  1.0D+00  1.8D-02  1.507D-06  7.961D-09
  113  149     0     0  con    0  1.0D+00  5.9D-02  3.042D-06  6.608D-09
  114  150     0     0  con    0  1.0D+00  1.6D-02  7.504D-07  6.243D-09
  115  152     0     0  con    1  4.0D-01  3.7D-02  4.167D-06  5.909D-09
  116  153     0     0  con    0  1.0D+00  9.8D-02  1.107D-05  4.664D-09
  117  155     0     0  con    1  4.7D-01  3.8D-03  2.042D-06  4.302D-09
  118  157     0     0  con    1  3.7D-01  2.7D-02  1.206D-06  3.983D-09
  119  159     0     0  con    1  2.5D-01  2.8D-02  7.564D-07  3.761D-09
  120  160     0     0  con    0  1.0D+00  4.0D-02  7.989D-06  3.607D-09
  121  161     0     0  con    0  1.0D+00  4.4D-03  4.425D-06  3.292D-09
  122  162     0     0  con    0  1.0D+00  3.1D-02  1.280D-06  2.914D-09
  123  164     0     0  con    1  4.4D-01  3.8D-02  5.341D-07  2.630D-09
  124  165     0     0  con    0  1.0D+00  4.7D-02  7.222D-06  2.399D-09
  125  166     0     0  con    0  1.0D+00  2.1D-03  5.708D-06  2.236D-09
  126  168     0     0  con    1  3.0D-01  2.3D-02  1.400D-06  1.933D-09
  127  170     0     0  con    1  3.4D-01  1.8D-02  2.130D-06  1.775D-09
  128  172     0     0  con    1  4.1D-01  2.5D-02  2.097D-06  1.625D-09
  129  173     0     0  con    0  1.0D+00  1.1D-02  6.588D-06  1.579D-09
  130  174     0     0  con    0  1.0D+00  1.3D-02  1.229D-06  1.427D-09
  131  175     0     0  con    0  1.0D+00  7.4D-03  3.293D-06  1.292D-09
  132  176     0     0  con    0  1.0D+00  3.6D-02  6.552D-06  1.209D-09
  133  177     0     0  con    0  1.0D+00  2.3D-03  3.342D-06  1.023D-09
  134  178     0     0  con    0  1.0D+00  3.6D-02  1.409D-06  7.970D-10
  135  179     0     0  con    0  1.0D+00  3.7D-02  1.371D-06  6.743D-10
  136  181     0     0  con    1  2.5D-01  7.6D-03  1.311D-06  6.306D-10
  137  184     0     0  con    2  2.1D-02  1.0D-02  4.959D-06  5.128D-10
  138  186     0     0  con    1  5.1D-01  2.0D-02  3.233D-06  4.089D-10
  139  188     0     0  con    1  3.3D-01  1.6D-02  1.026D-06  3.568D-10
  140  189     0     0  con    0  1.0D+00  9.0D-03  2.772D-06  3.019D-10
  141  190     0     0  con    0  1.0D+00  1.1D-02  2.831D-06  2.633D-10
  142  192     0     0  con    1  1.3D-02  4.2D-04  2.811D-06  2.553D-10
  143  193     0     0  con    0  1.0D+00  3.2D-02  1.415D-06  1.598D-10
  144  194     0     0  con    0  1.0D+00  1.3D-02  3.698D-07  1.145D-10
  145  196     0     0  con    1  4.0D-01  1.4D-02  2.163D-07  9.453D-11
  146  197     0     0  con    0  1.0D+00  1.9D-02  4.418D-07  5.021D-11
  147  198     0     0  con    0  1.0D+00  7.7D-03  1.860D-07  3.188D-11
  148  200     0     0  con    1  2.2D-01  9.9D-03  9.716D-07  2.264D-11
  149  201     0     0  con    0  1.0D+00  1.3D-02  7.912D-07  1.415D-11
  150  202     0     0  con    0  1.0D+00  5.7D-03  1.314D-07  5.475D-12
  151  203     0     0  con    0  1.0D+00  1.1D-02  3.871D-07  2.037D-12
  152  204     0     0  con    0  1.0D+00  3.7D-03  7.877D-07  1.799D-12
  153  205     0     0  con    0  1.0D+00  1.3D-03  1.551D-08  1.271D-13
  154  206     0     0  con    0  1.0D+00  2.6D-03  6.876D-08  5.118D-14
  155  207     0     0  con    0  1.0D+00  3.9D-04  3.998D-08  1.856D-14
  156  209     0     0  con    1  2.7D-01  3.0D-04  3.011D-09  5.896D-15
