RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            5     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.769D-01  2.090D-01
    1    2     1     0  ---    0  4.9D+00  1.0D+00  6.295D-02  2.038D-02
    2    3     0     0  con    0  1.0D+00  3.7D-01  2.358D-02  3.530D-03
    3    5     0     0  con    1  4.2D-01  5.6D-02  8.771D-03  2.694D-03
    4    6     0     0  con    0  1.0D+00  7.3D-02  3.999D-03  2.316D-03
    5    7     0     0  con    0  1.0D+00  1.9D-02  3.955D-03  2.217D-03
    6    8     0     0  con    0  1.0D+00  1.2D-01  9.625D-03  1.802D-03
    7    9     0     0  con    0  1.0D+00  2.4D-01  1.273D-02  1.144D-03
    8   10     0     0  con    0  1.0D+00  5.0D-01  8.001D-03  4.702D-04
    9   11     0     0  con    0  1.0D+00  4.2D-02  1.979D-03  2.770D-04
   10   12     0     0  con    0  1.0D+00  5.5D-02  1.011D-03  2.686D-04
   11   13     0     0  con    0  1.0D+00  8.3D-03  4.835D-04  2.677D-04
   12   14     0     0  con    0  1.0D+00  2.5D-03  2.943D-04  2.674D-04
   13   15     0     0  con    0  1.0D+00  9.1D-03  5.076D-05  2.671D-04
   14   16     0     0  con    0  1.0D+00  2.6D-03  3.080D-05  2.670D-04
   15   17     0     0  con    0  1.0D+00  1.6D-03  3.054D-05  2.670D-04
   16   18     0     0  con    0  1.0D+00  2.0D-02  1.070D-04  2.663D-04
   17   19     0     0  con    0  1.0D+00  4.0D-02  2.196D-04  2.652D-04
   18   20     0     0  con    0  1.0D+00  1.2D-01  4.690D-04  2.621D-04
   19   21     0     0  con    0  1.0D+00  2.3D-01  8.380D-04  2.567D-04
   20   22     0     0  con    0  1.0D+00  3.8D-01  1.232D-03  2.458D-04
   21   23     0     0  con    0  1.0D+00  8.4D-01  2.916D-03  2.395D-04
   22   24     0     0  con    0  1.0D+00  2.6D-01  2.010D-03  2.112D-04
   23   26     0     0  con    1  2.7D-01  1.4D-01  1.284D-03  2.015D-04
   24   27     0     0  con    0  1.0D+00  2.0D-01  1.045D-03  1.909D-04
   25   29     0     0  con    1  2.0D-01  5.9D-01  3.440D-03  1.826D-04
   26   30     0     0  con    0  1.0D+00  1.3D-01  1.021D-03  1.699D-04
   27   31     0     0  con    0  1.0D+00  6.2D-01  1.695D-03  1.564D-04
   28   32     0     0  con    0  1.0D+00  3.2D-01  1.259D-03  1.444D-04
