RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            6     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.664D-04  1.388D-05
    1    3     1     0  ---    1  1.8D+00  4.6D-04  1.823D-04  1.382D-05
    2    4     0     0  con    0  1.0D+00  3.5D-04  1.402D-04  1.376D-05
    3    5     0     0  con    0  1.0D+00  1.2D-03  2.785D-05  1.366D-05
    4    7     0     0  con    1  5.0D+00  7.6D-04  3.229D-05  1.364D-05
    5    8     0     0  con    0  1.0D+00  2.8D-03  3.980D-05  1.359D-05
    6    9     0     0  con    0  1.0D+00  2.4D-03  2.796D-05  1.355D-05
    7   10     0     0  con    0  1.0D+00  1.9D-02  5.731D-05  1.328D-05
    8   11     0     0  con    0  1.0D+00  3.1D-02  1.760D-04  1.290D-05
    9   12     0     0  con    0  1.0D+00  8.6D-02  4.985D-04  1.194D-05
   10   13     0     0  con    0  1.0D+00  1.4D-01  1.068D-03  1.060D-05
   11   14     0     0  con    0  1.0D+00  1.2D-01  1.226D-03  8.613D-06
   12   15     0     0  con    0  1.0D+00  2.0D-01  1.053D-03  6.840D-06
   13   17     0     0  con    1  3.9D-01  1.0D-01  4.636D-04  4.857D-06
   14   18     0     0  con    0  1.0D+00  2.4D-02  1.657D-04  3.679D-06
   15   19     0     0  con    0  1.0D+00  6.6D-02  5.763D-04  3.420D-06
   16   20     0     0  con    0  1.0D+00  2.1D-02  5.802D-05  3.330D-06
   17   21     0     0  con    0  1.0D+00  2.1D-02  1.067D-04  3.277D-06
   18   22     0     0  con    0  1.0D+00  3.2D-02  1.199D-04  3.234D-06
   19   23     0     0  con    0  1.0D+00  1.0D-02  2.799D-05  3.223D-06
   20   24     0     0  con    0  1.0D+00  5.2D-03  3.276D-06  3.221D-06
   21   25     0     0  con    0  1.0D+00  9.7D-04  2.879D-06  3.221D-06
   22   26     0     0  con    0  1.0D+00  2.4D-04  2.337D-06  3.221D-06
   23   27     0     0  con    0  1.0D+00  6.4D-04  1.532D-06  3.221D-06
   24   28     0     0  con    0  1.0D+00  1.3D-03  3.805D-06  3.221D-06
   25   29     0     0  con    0  1.0D+00  2.2D-03  8.157D-06  3.219D-06
   26   30     0     0  con    0  1.0D+00  4.1D-03  1.640D-05  3.216D-06
   27   31     0     0  con    0  1.0D+00  1.0D-02  4.024D-05  3.208D-06
   28   32     0     0  con    0  1.0D+00  2.2D-02  2.055D-05  3.188D-06
   29   34     0     0  con    1  1.7D-01  2.7D-02  1.179D-04  3.171D-06
   30   35     0     0  con    0  1.0D+00  3.9D-02  1.356D-04  3.115D-06
   31   37     0     0  con    1  4.3D-01  2.4D-01  5.398D-04  2.810D-06
   32   38     0     0  con    0  1.0D+00  3.3D-01  1.059D-03  2.605D-06
   33   40     0     0  con    1  4.5D-01  5.7D-02  9.762D-04  2.319D-06
   34   42     0     0  con    1  8.8D-02  4.1D-02  5.740D-05  1.962D-06
   35   43     0     0  con    0  1.0D+00  2.3D-01  2.326D-04  1.650D-06
   36   44     0     0  con    0  1.0D+00  2.3D-01  6.038D-04  1.575D-06
   37   45     0     0  con    0  1.0D+00  1.1D-02  1.427D-04  1.378D-06
   38   46     0     0  con    0  1.0D+00  1.3D-01  2.869D-05  1.177D-06
   39   48     0     0  con    1  3.0D-01  1.7D-01  2.108D-04  1.036D-06
   40   49     0     0  con    0  1.0D+00  1.7D-01  4.874D-04  9.739D-07
   41   50     0     0  con    0  1.0D+00  3.6D-02  1.289D-04  8.751D-07
   42   51     0     0  con    0  1.0D+00  3.4D-02  6.574D-05  8.317D-07
   43   53     0     0  con    1  5.0D-01  1.2D-01  2.051D-04  7.873D-07
   44   54     0     0  con    0  1.0D+00  7.2D-02  1.233D-04  7.499D-07
   45   55     0     0  con    0  1.0D+00  7.5D-02  3.753D-05  7.146D-07
   46   57     0     0  con    1  4.0D-01  6.4D-02  5.885D-05  7.022D-07
   47   58     0     0  con    0  1.0D+00  1.1D-01  4.804D-05  6.766D-07
   48   59     0     0  con    0  1.0D+00  5.2D-02  3.483D-05  6.069D-07
   49   61     0     0  con    1  3.0D-01  1.1D-01  1.250D-04  5.001D-07
   50   62     0     0  con    0  1.0D+00  1.3D-01  2.564D-04  2.646D-07
   51   64     0     0  con    1  2.3D-01  5.2D-02  1.685D-05  1.909D-07
   52   65     0     0  con    0  1.0D+00  3.1D-02  7.556D-05  1.603D-07
   53   66     0     0  con    0  1.0D+00  1.7D-02  7.114D-05  1.498D-07
   54   67     0     0  con    0  1.0D+00  7.5D-02  3.497D-05  1.234D-07
