RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            5     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   72   91     0     0  con    1  1.9D-01  1.2D-01  2.614D-04  2.239D-06
   73   93     0     0  con    1  5.1D-01  8.2D-02  4.872D-04  2.155D-06
   74   94     0     0  con    0  1.0D+00  9.3D-02  5.952D-04  1.974D-06
   75   95     0     0  con    0  1.0D+00  1.5D-01  4.228D-04  1.545D-06
   76   96     0     0  con    0  1.0D+00  5.4D-02  1.489D-04  1.412D-06
   77   97     0     0  con    0  1.0D+00  1.6D-01  4.871D-04  1.346D-06
   78   98     0     0  con    0  1.0D+00  2.2D-03  1.785D-04  1.222D-06
   79   99     0     0  con    0  1.0D+00  1.5D-01  7.579D-05  1.021D-06
   80  101     0     0  con    1  4.3D-01  1.3D-01  2.993D-04  9.200D-07
   81  102     0     0  con    0  1.0D+00  9.0D-02  1.895D-04  8.390D-07
   82  103     0     0  con    0  1.0D+00  1.0D-01  3.046D-04  8.142D-07
   83  104     0     0  con    0  1.0D+00  2.0D-02  2.879D-05  7.427D-07
   84  105     0     0  con    0  1.0D+00  8.8D-02  3.301D-05  6.828D-07
   85  107     0     0  con    1  4.4D-01  8.4D-02  1.440D-04  6.562D-07
   86  108     0     0  con    0  1.0D+00  6.4D-02  1.278D-04  6.311D-07
   87  109     0     0  con    0  1.0D+00  7.0D-02  1.255D-04  6.113D-07
   88  111     0     0  con    1  4.6D-01  3.9D-02  3.056D-05  5.997D-07
   89  112     0     0  con    0  1.0D+00  7.4D-02  7.232D-05  5.951D-07
   90  113     0     0  con    0  1.0D+00  3.0D-03  8.831D-06  5.923D-07
   91  114     0     0  con    0  1.0D+00  1.2D-02  1.124D-05  5.901D-07
   92  115     0     0  con    0  1.0D+00  2.3D-02  2.657D-05  5.897D-07
   93  116     0     0  con    0  1.0D+00  2.8D-03  6.274D-06  5.894D-07
   94  117     0     0  con    0  1.0D+00  6.3D-03  3.970D-07  5.893D-07
   95  118     0     0  con    0  1.0D+00  2.0D-03  1.304D-07  5.893D-07
   96  119     0     0  con    0  1.0D+00  1.2D-04  1.993D-07  5.893D-07
   97  120     0     0  con    0  1.0D+00  5.2D-04  4.274D-07  5.893D-07
   98  121     0     0  con    0  1.0D+00  1.8D-03  1.342D-06  5.892D-07
   99  122     0     0  con    0  1.0D+00  2.7D-03  2.088D-06  5.891D-07
  100  123     0     0  con    0  1.0D+00  6.5D-03  3.509D-06  5.889D-07
  101  124     0     0  con    0  1.0D+00  9.9D-03  6.819D-06  5.882D-07
  102  125     0     0  con    0  1.0D+00  2.5D-02  8.825D-06  5.864D-07
  103  126     0     0  con    0  1.0D+00  5.6D-02  1.568D-05  5.818D-07
  104  128     0     0  con    1  4.2D-01  5.3D-02  4.877D-05  5.789D-07
  105  129     0     0  con    0  1.0D+00  1.3D-01  2.749D-05  5.673D-07
  106  130     0     0  con    0  1.0D+00  1.5D-01  3.610D-05  5.522D-07
  107  131     0     0  con    0  1.0D+00  3.5D-01  4.452D-05  5.160D-07
  108  133     0     0  con    1  2.0D-01  1.3D-01  1.351D-04  5.021D-07
  109  135     0     0  con    1  1.7D-01  3.0D-01  1.055D-04  4.331D-07
  110  137     0     0  con    1  2.1D-01  2.0D-01  2.172D-04  4.145D-07
  111  139     0     0  con    1  2.6D-01  6.5D-01  1.157D-04  3.377D-07
  112  140     0     0  con    0  1.0D+00  3.3D-01  6.250D-05  2.920D-07
  113  141     0     0  con    0  1.0D+00  4.1D-01  2.159D-05  2.822D-07
  114  142     0     0  con    0  1.0D+00  3.5D-02  1.251D-05  2.732D-07
  115  143     0     0  con    0  1.0D+00  1.4D-01  4.287D-05  2.497D-07
  116  144     0     0  con    0  1.0D+00  7.5D-01  9.634D-05  1.864D-07
  117  146     0     0  con    1  4.5D-01  4.5D-01  8.929D-05  1.658D-07
  118  147     0     0  con    0  1.0D+00  2.6D-01  9.584D-05  1.511D-07
  119  151     0     0  con    3  1.2D-01  3.1D-01  8.437D-05  6.890D-08
  120  153     0     0  con    1  3.2D-01  2.0D-01  7.649D-05  6.382D-08
  121  155     0     0  con    1  4.6D-01  1.8D-01  1.152D-04  5.638D-08
  122  156     0     0  con    0  1.0D+00  6.2D-01  1.637D-04  4.689D-08
  123  158     0     0  con    1  4.7D-01  7.2D-02  5.483D-05  3.466D-08
  124  159     0     0  con    0  1.0D+00  1.1D-01  1.302D-05  3.296D-08
  125  160     0     0  con    0  1.0D+00  1.0D-01  3.630D-06  3.073D-08
  126  161     0     0  con    0  1.0D+00  7.5D-02  2.370D-05  2.601D-08
  127  162     0     0  con    0  1.0D+00  1.1D-01  3.775D-05  2.197D-08
  128  163     0     0  con    0  1.0D+00  7.7D-01  3.776D-05  9.070D-09
  129  164     0     0  con    0  1.0D+00  1.5D-01  2.573D-05  4.832D-09
  130  165     0     0  con    0  1.0D+00  3.8D-01  2.035D-05  1.871D-09
  131  166     0     0  con    0  1.0D+00  6.7D-02  1.600D-05  6.148D-10
  132  167     0     0  con    0  1.0D+00  1.3D-01  1.024D-05  1.847D-10
  133  168     0     0  con    0  1.0D+00  9.4D-02  2.544D-06  8.255D-12
  134  169     0     0  con    0  1.0D+00  1.1D-02  1.803D-07  3.762D-12
  135  170     0     0  con    0  1.0D+00  5.8D-04  5.877D-08  3.565D-12
  136  171     0     0  con    0  1.0D+00  1.3D-03  1.792D-08  3.529D-12
  137  172     0     0  con    0  1.0D+00  3.2D-04  1.139D-08  3.528D-12
  138  173     0     0  con    0  1.0D+00  1.9D-05  1.653D-10  3.528D-12
  139  174     0     0  con    0  1.0D+00  9.8D-07  4.602D-11  3.528D-12
  140  176     0     0  con    1  3.0D-01  4.9D-07  3.240D-11  3.528D-12
  141  178     0     0  con    1  2.8D-01  2.5D-07  2.329D-11  3.528D-12
  142  181     0     0  con    2  1.2D-02  4.8D-08  2.246D-11  3.528D-12
  143  184     0     0  con    2  6.6D-02  9.0D-09  2.078D-11  3.528D-12
  144  187     0     0  con    2  6.6D-02  3.9D-09  1.855D-11  3.528D-12
  145  195     0     0  con    7  0.0D+00  0.0D+00  1.856D-11  3.528D-12
  146  203     0     0  con    7  0.0D+00  0.0D+00  1.856D-11  3.528D-12
  147  211     0     0  con    7  0.0D+00  0.0D+00  1.856D-11  3.528D-12

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 2.050E+02 seconds.

